id,dept_id,name,age,email,sex
1,1,joe,21,joe@spark.com,M
2,2,jane,19,Jane@spark.com,F
3,1,Mike,26,Mike@spark.com,M
4,3,Lisa,13,lisa@spark.com,F
5,1,John,45,John@spark.com,M
6,2,Linda,36,Linda1@sparks.com,F
7,2,David,50,David@spark.com,M
8,1,Bill,60,bill@spark.com,M
9,3,Tracy,65,tracy@spark.com,F
10,2,jack,21,jack@spark.com,M
11,2,jane,43,jane@spark.com,F
12,3,Pat,45,pat@spark.com,M
13,3,Liz,13,liz@spark.com,F
14,3,Johny,42,johny@spark.com,M
15,3,Julia,33,julia@sparks.com,F
16,3,Jules,21,jules@spark.com,M
17,1,Mark,33,mark@spark.com,M
8,1,Bill,60,bill@spark.com,M
